,Company,Customer,Number_review,Language,Title,Date_review,Reply,Date_reply,Rating,Status,Experience Date
26,BoursoBank,Jacopo,1 review,FR,Worst customer experience ever,"Jun 13, 2023",,,1,Merged,"Worst customer experience everI signed-up to open a Boursorama account.I filled all steps in the onboarding process and received a rejection email saying I could not be approved with no detailed justification or reasons. When asked to provide more information, they are simply disregarding my email.I am a potential client, willing to invest good amount of money with them, and I am treated this wayDate of experience: June 09, 2023"
27,BoursoBank,Alexandra,3 reviews,FR,Worse customer service ever,"Aug 3, 2023",,,1,Merged,"Worse customer service everWorse customer service ever. All I want is to close my account but they request the same documentation again and again. The helpline is absolutely unresponsive and undhelpful. I stronly advise to go to any other bank!!!Date of experience: August 03, 2023"
28,BoursoBank,André C,1 review,FR,I have a lot of difficulties navigating…,"Jul 2, 2023",,,1,Merged,"I have a lot of difficulties navigating…I have a lot of difficulties navigating through this site. When I spend money it does not deduct it in real time and confuses howmuch is left. I am also unable to change my email address and have no customer support to solve this issue.Date of experience: July 01, 2023"
29,BoursoBank,Ginouse,4 reviews,FR,Facile,"Jun 6, 2023",,,5,Merged,"FacileFacile, simple, rapide. Ne changez rien SVP.Date of experience: June 05, 2023"
30,BoursoBank,Kelifa,2 reviews,FR,Application très fonctionnelle,"Sep 5, 2023",,,5,Merged,"Application très fonctionnelleSimple à utiliser et conviviale.Date of experience: September 04, 2023"
31,BoursoBank,Avigail,1 review,FR,Disaster,"Oct 16, 2023",,,1,Merged,"DisasterDisaster: too many documents are requested during application process, unclear user flow, unfriendly support. Old banking system with new design facade and poor functioning digital services.Date of experience: October 16, 2023"
32,BoursoBank,thdudragne,4 reviews,FR,Efficace,"Jul 27, 2023",,,5,Merged,"EfficaceEfficace, clair et simple.Ce que l'on attend d'une banque en ligne.Date of experience: July 26, 2023"
33,BoursoBank,Keith Surridge,3 reviews,FR,Not impressed.,"Feb 3, 2023",,,1,Merged,"Not impressed.Not impressed at all by the way the bank tries to foist a different card on you, making your choice for you (with extra charges inevitable) in the announcement that the old one needs renewing. To revert to the same card, with which I am very happy, took half a dozen pages to view and answer questions. Hopeless, waste of my time.It should seek to target its customers instead. There was no way I was going to take up the new card---that was obvious through my spending and transfer history.Aaaaggghh.Date of experience: February 02, 2023"
34,BoursoBank,Pierre-Alexandre Sicart,18 reviews,FR,Bugs and terrible customer service,"Apr 19, 2023",,,1,Merged,"Bugs and terrible customer serviceI've lived in France, the States, and Taiwan. Over the past thirty years, I can recall having had seven banks. Of these banks, Boursorama is the absolute worst. Their customer service is a joke: You have to dig through menu after menu to send them an email, and then they send you a copy-pasted answer a bot could have sent -- and probably did. And that's just my most recent experience. In the past, when you could still hope to receive an answer that wasn't prewritten, I also had the joy of experiencing the life of a hot potato, with each representative dropping my case after one message so that the next representative could start again from scratch (and often contradict what the previous representative had told me to do).And since I live in Taiwan right now, I cannot even open an account in another French bank. I'm stuck and they know it.Date of experience: April 19, 2023"
35,BoursoBank,Matt,5 reviews,IT,great service using app,"Apr 29, 2023",,,5,Merged,"great service using appgreat service using app. plenty of opitons to chose from. it is a modern banking and i like it.Date of experience: April 28, 2023"
36,BoursoBank,CESA,2 reviews,FR,peu cher,"Oct 26, 2023",,,4,Invited,"peu cherpeu cher, interface et application claireDate of experience: October 25, 2023"
37,BoursoBank,Christian L,1 review,FR,facile,"Nov 3, 2023",,,5,Invited,"facilefacile, intuitif, rapidesite impeccableDate of experience: November 03, 2023"
38,BoursoBank,EMMANUEL KIRSCH,4 reviews,FR,Réception et activation de ma CB rapide…,"Aug 30, 2023",,,5,Merged,"Réception et activation de ma CB rapide…Réception et activation de ma CB rapide et simpleDate of experience: August 29, 2023"
39,BoursoBank,Serge,4 reviews,FR,Modification du plafond de retrait CB,"Jan 14, 2023",,,5,Merged,"Modification du plafond de retrait CBExtrêmement simple et modification immédiate pour modification du plafond de retrait CBDate of experience: January 13, 2023"
